,code_grade_NEG,libelle_grade_neg,code_nomenclature_net_neh,libelle_NET_NEH,date_effet,date_fin,indice_brut,rang_echelon,code_etat,libelle_NEG_rempl,libelle_NET_NEH_rempl,code_NETH_rempl,libelle_statut
55978,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01JUL1976,31/07/1977,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55979,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,340,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55980,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,379,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55981,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,419,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55982,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,451,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55983,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,498,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55984,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,531,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55985,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,563,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55986,N00255,BIBLIOTHECAIRE DEUXIEME CATEGORIE,,,01AUG1977,31/12/2088,593,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173484,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,300,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173485,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,340,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173486,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,375,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173487,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,410,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173488,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,445,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173489,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,480,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173490,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,515,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173491,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1964,31/12/1966,530,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173492,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,300,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173493,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,340,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173494,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,380,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173495,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,420,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173496,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,460,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173497,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,500,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173498,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,530,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173499,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JAN1967,30/11/1974,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173500,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,313,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173501,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,353,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173502,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,392,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173503,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,429,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173504,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,465,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173505,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,504,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173506,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,535,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173507,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01DEC1974,30/06/1975,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173508,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,323,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173509,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,362,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173510,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,403,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173511,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,438,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173512,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,474,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173513,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,510,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173514,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,543,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173515,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1975,30/06/1976,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173516,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,331,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173517,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,370,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173518,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,415,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173519,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,446,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173520,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,481,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173521,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,514,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173522,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,549,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173523,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01JUL1976,31/07/1977,560,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173524,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,340,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173525,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,379,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173526,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,419,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173527,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,451,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173528,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,498,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173529,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,531,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173530,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,563,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
173531,S02126,CHEF D'USINE DE LA STATION D'EPURATION,,,01AUG1977,31/12/2088,593,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621163,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,597,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621164,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,632,2,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621165,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,660,3,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621166,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,701,4,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621167,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,741,5,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621168,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,780,6,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621169,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,821,7,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
621170,S12140,"BIBLIOTHECAIRE EN CHEF, CHARGE DES CONFERENCES ET DES EXPOSITIONS",,,01JAN1988,31/12/2088,871,8,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
