,code_grade_NEG,libelle_grade_neg,code_nomenclature_net_neh,libelle_NET_NEH,date_effet,date_fin,indice_brut,rang_echelon,code_etat,libelle_NEG_rempl,libelle_NET_NEH_rempl,code_NETH_rempl,libelle_statut
29120,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2010,31/12/2016,701,7,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29121,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2010,31/12/2016,777,8,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29122,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2010,31/12/2016,852,9,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29123,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,503,0,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29124,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,544,1,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29125,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,598,2,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29126,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,653,3,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29127,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,706,4,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29128,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,781,5,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29129,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2017,31/12/2018,857,6,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29130,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,510,0,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29131,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,551,1,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29132,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,605,2,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29133,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,659,3,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29134,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,713,4,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29135,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,787,5,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
29136,0956,CONSERVATEUR DE BIBLIOTHEQUES,TCH1,Conservateur,01JAN2019,12/12/2099,862,6,1,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
55891,N00254,BIBLIOTHECAIRE PREMIERE CATEGORIE,,,05NOV1959,31/12/1966,300,1,2,CONSERVATEUR DE BIBLIOTHEQUES,Conservateur,TCH1,Fonction publique territoriale
